,email,label
157,Your Netflix subscription has expired. Click here to renew now!,1
158,We're experiencing technical difficulties. Our team is working to resolve the issue ASAP.,0
159,Act fast! Limited-time offer on designer handbags. Click here to shop now!,1
160,You've won a luxury cruise! Click here to claim your tickets.,1
161,Hello! Just wanted to remind you about our upcoming event. Don't miss it!,0
162,Your account password has been reset successfully. Please login with the new password.,0
163,You've won a shopping spree! Click here to claim your voucher.,1
164,Unlock exclusive discounts! Click here to join our loyalty program.,1
165,Act fast! Limited-time offer on luxury watches. Click here to buy now!,1
166,Make money fast! Join our affiliate program and start earning cash today!,1
167,Congratulations! You've been selected for a special offer. Enjoy!,0
168,Your credit card has been charged for unauthorized purchases. Click here to dispute the charges.,1
169,Congratulations on your recent purchase! Here's a special offer for your next order.,0
170,Your account has been credited with bonus points for your continued support. Thank you!,0
171,You've been chosen for a free iPhone. Click here to claim your prize!,1
172,Congratulations! You've won a free trip to Europe. Click here to claim your prize!,1
173,Introducing our loyalty program. Earn points with every purchase and redeem rewards!,0
174,We're pleased to inform you that your refund has been processed successfully.,0
175,Get rich quick! Invest in our revolutionary new scheme and retire early!,1
176,Your free trial period is ending soon. Upgrade now to continue enjoying our services.,0
177,Your order is on its way! Track your shipment for real-time updates.,0
178,Limited-time offer! Get 50% off on all purchases today only. Don't miss out!,1
